"image_id","psp_code","gis_code"
"rtQ_ap4zC9_pvasZwVPUuw_68",14221,3212
"JrdqeMUYV4D7YEpsh5tNWg_206",32412,3211
"1_v48PvnJ-eEPY5UkdK6lw_66",23241,3212
"OfLMlcRfxi15E6LzBmdZsQ_62",13241,3211
"BMPWV9az_iNQYUtn1MoioQ_358",13443,3212
"BzvBpQwYGRMrhi0r8DlW-Q_58",43423,3211
"U57sjZt25YOo-7WJwMbJQQ_143",23132,3212
"_IDxzUmrte4AJ7g_Ux2mTQ_158",33324,3211
"hwZ0WP2K8O2RgAqea_Boqw_352",22232,3212
"y8RRs6MJnwD_KttWZ-TquA_255",41313,3211
"fIlmR5eDaC9YjYASzqrzpg_7",41114,3212
"TBa8FSIKssNNf8wsIYuqcg_184",42122,3211
"HQHXHj31_xSfDqnEVxbeag_23",32141,3212
"Apdoti7B1_60WsIrJ1e2Sw_182",31244,3211
"nuGUyoJJrafwRO7TGLWEPw_14",23113,3212
"qjMDaFleL8_9RsKvmF0JQQ_141",23242,3211
"Nq0EXJLYxcjiCdm6WXK9Zg_0",43244,3212
"_7ZrZNT8YuDG86Kio2Hyfg_359",41231,3211
"OGakcgqrRHRkZxAJPJb08w_174",34231,3212
"vNr0L9iiPprxKF9ctPE_Ow_75",41122,3211
"mtFDrmVWO4Z9zquUHwAm0Q_359",42223,3212
"sZgKx7ylj3ZMXDUAgnqFyA_71",44221,3211
"T4hnD6WguDpz-v8M9uOBXg_220",14412,3212
"W02cauJHkLEoiB5rdLRtHg_259",31423,3211
"Jtmz-9wiq2CnaVErG7zw5g_45",22212,3212
"BokYQpa9BJbS8VbuVpBJCw_89",41213,3211
"6-7JD3iZI3sa7evrkrfO6A_359",44214,3212
"2sTt0W28tDx3FaecDZeBKg_248",11314,3211
"aLhr72kH4rtFuw6amzSR0w_236",23424,3212
"ISkswsKpnd_MzMyuzPfBGA_89",32131,3211
"DXpYsiTsSmCnkczz8H4TRA_270",31243,3212
"0QWvjXoMwY5RkWIuSSaGUQ_181",31234,3211
"dyiQduEn9yBOgbwW5LsYDQ_237",14141,3212
"pz0fo66TDYQ6vVxw6N1NIg_93",41422,3211
"8J2P6ADt_oC6COuCJ2S96A_344",23123,3212
"yZ52hGJRa1FUYOpZbJavxA_266",22222,3211
"570fo8gcUExZQLBLDH7oqg_3",42224,3212
"YmvP9KVYSEg8ASVlICz9_g_179",13413,3211
"w2PFuSKoZi4Nu0-CzVvf_w_0",23223,3212
"QByT5BZ8C_SJr40LzhbQ9g_270",44424,3211
"8sGoA01Y0PexCnZJbCNAAg_65",22122,3212
"NGNYRkT7q70wZS5FVPLQiw_261",44141,3211
"EJt3tRyM5E_TSF3oLueExw_223",24312,3212
"mxzdnPi2Av-oavz4MA34dQ_266",12414,3211
"unMe3WPBQlIa8uAmAjiIjQ_109",33411,3212
"7as3aO6cmNTNiAxFYrZoew_277",11231,3211
"iKS3cCaPtUl5r4sPy44XLQ_161",33413,3212
"AsR_QeMMyk_WRQCAo0EwXQ_322",41122,3211
"KitkPWItYxraTc6JSWTNnA_0",21433,3212
"MjLyPlTUX2tFcs7g_lE1HA_253",23122,3211
"xbjkuvpj6ByTW7cz3RlhKA_349",11221,3212
"Ih1VSx5LViTotfROXa5qlA_297",12123,3211
"YxQz9W-KE3mqW29xfMwpjg_180",23141,3212
"O76aihP0esjk_T_kYMqbTw_179",13132,3211
"ZttaP7qc_yCFIfP-fJzi2g_12",14423,3212
"e0nIVhLIRG8GiVbW6AolyQ_152",42123,3211
"H1S3bqzmad-Hzbh4BiNVtw_204",32432,3212
"C1epVysXfo-6oBgyj4t3KA_90",32234,3211
"epGv-2VzXvnZpwUnR4WDBw_359",44213,3212
"VDriQUXRr6DtRSf8irxsww_131",33444,3211
"3h5buuAi6MFgt6LUaS41cQ_324",41214,3212
"Axo_E_cgmh_iIuDpQCtoVA_180",42443,3211
"UwjdvhHpae5t_f4vnVwIcQ_164",11212,3212
"6zUrKvH5WkRwQu6oKu5fuA_239",44134,3211
"m9IcyivaJ5HK6vnb0sPE8g_48",13431,3212
"3vceXqWo3xCDJACV1u_Y_A_264",43424,3211
"109_tVX7B7efILV9YYXd8g_177",13422,3212
"BPF1CgluHt8aQLjjl0bccw_312",32123,3211
"YBx-tVfbxSiYtU4M5BchNw_331",33421,3212
"LRX59mQxb6-uspStX5cQDw_271",12441,3211
"JrexieH1aR9udi-tkVvXXw_273",14243,4112
